Starting as master.... 
Starting as slave.... 
(0.306367, 0.177701, 0.214952)
(0.267570, 0.241215, 0.298114)
(0.204510, 0.163705, 0.264070)
(0.154017, 0.143843, 0.167284)
(0.143262, 0.143262, 0.182358)
(0.235959, 0.227764, 0.233150)
(0.208998, 0.180366, 0.228131)
(0.151043, 0.140336, 0.191076)
(0.309953, 0.257773, 0.269234)
(0.274650, 0.218453, 0.248865)
(0.395826, 0.279340, 0.320445)
(0.418580, 0.386843, 0.415980)
(0.401931, 0.209383, 0.221075)
(0.217831, 0.190865, 0.266167)
(0.284249, 0.242614, 0.358410)
(0.462043, 0.439523, 0.452244)
(0.174857, 0.167687, 0.253459)
(0.272177, 0.250933, 0.403066)
(0.317686, 0.273682, 0.372513)
(0.122488, 0.122488, 0.122488)
(0.219947, 0.161747, 0.161976)
(0.273888, 0.203663, 0.224488)
(0.169104, 0.169104, 0.178285)
